plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
50000,0.259751558303833,18515,13079,3960
50000,0.2563505172729492,18515,13079,3960
50000,0.24752330780029297,18515,13079,3960
50000,0.2588388919830322,18515,13079,3960
50000,0.2523181438446045,18515,13079,3960
50000,0.2543501853942871,18515,13079,3960
50000,0.26631927490234375,18515,13079,3960
50000,0.2533261775970459,18515,13079,3960
50000,0.24736452102661133,18515,13079,3960
50000,0.2488701343536377,18515,13079,3960
50000,0.25229597091674805,18515,13079,3960
50000,0.25135064125061035,18515,13079,3960
50000,0.2852137088775635,18515,13079,3960
50000,0.2937939167022705,18515,13079,3960
50000,0.3017420768737793,18515,13079,3960
50000,0.2794301509857178,18515,13079,3960
50000,0.28078603744506836,18515,13079,3960
50000,0.254314661026001,18515,13079,3960
50000,0.37001490592956543,18515,13079,3960
50000,0.28124547004699707,18515,13079,3960
50000,0.34555625915527344,18515,13079,3960
50000,0.29822659492492676,18515,13079,3960
50000,0.33404994010925293,18515,13079,3960
50000,0.3964552879333496,18515,13079,3960
50000,0.536083459854126,18515,13079,3960
50000,0.43584156036376953,18515,13079,3960
50000,0.3285655975341797,18515,13079,3960
50000,0.3161590099334717,18515,13079,3960
50000,0.3116788864135742,18515,13079,3960
50000,0.3251345157623291,18515,13079,3960
50000,0.2837245464324951,18515,13079,3960
50000,0.28076624870300293,18515,13079,3960
50000,0.28540992736816406,18515,13079,3960
50000,0.35206174850463867,18515,13079,3960
50000,0.37300777435302734,18515,13079,3960
50000,0.36585521697998047,18515,13079,3960
50000,0.36020898818969727,18515,13079,3960
50000,0.3051886558532715,18515,13079,3960
50000,0.29621267318725586,18515,13079,3960
50000,0.35704946517944336,18515,13079,3960
50000,0.3192758560180664,18515,13079,3960
50000,0.3770320415496826,18515,13079,3960
50000,0.28224921226501465,18515,13079,3960
50000,0.4657611846923828,18515,13079,3960
50000,0.5333261489868164,18515,13079,3960
50000,0.8315310478210449,18515,13079,3960
50000,0.4184305667877197,18515,13079,3960
50000,0.31743478775024414,18515,13079,3960
50000,0.5550322532653809,18515,13079,3960
50000,0.40392446517944336,18515,13079,3960
50000,0.3470761775970459,18515,13079,3960
50000,0.5774643421173096,18515,13079,3960
50000,0.3388087749481201,18515,13079,3960
50000,0.5993950366973877,18515,13079,3960
50000,0.4060952663421631,18515,13079,3960
50000,0.4329228401184082,18515,13079,3960
50000,0.43343138694763184,18515,13079,3960
50000,0.585101842880249,18515,13079,3960
50000,0.5799751281738281,18515,13079,3960
50000,0.372952938079834,18515,13079,3960
50000,0.6010355949401855,18515,13079,3960
50000,0.9719870090484619,18515,13079,3960
50000,0.5409228801727295,18515,13079,3960
50000,0.2989344596862793,18515,13079,3960
50000,0.30718350410461426,18515,13079,3960
50000,0.4360804557800293,18515,13079,3960
50000,0.32613205909729004,18515,13079,3960
50000,0.39295458793640137,18515,13079,3960
50000,0.34907078742980957,18515,13079,3960
50000,0.3316323757171631,18515,13079,3960
50000,0.2857480049133301,18515,13079,3960
50000,0.2892308235168457,18515,13079,3960
50000,0.2912261486053467,18515,13079,3960
50000,0.306201696395874,18515,13079,3960
50000,0.28676509857177734,18515,13079,3960
50000,0.29073572158813477,18515,13079,3960
50000,0.29820728302001953,18515,13079,3960
50000,0.29022812843322754,18515,13079,3960
50000,0.28723573684692383,18515,13079,3960
50000,0.293536901473999,18515,13079,3960
50000,0.2952144145965576,18515,13079,3960
50000,0.2872350215911865,18515,13079,3960
50000,0.3420898914337158,18515,13079,3960
50000,0.3208305835723877,18515,13079,3960
50000,0.3236420154571533,18515,13079,3960
50000,0.45578694343566895,18515,13079,3960
50000,0.333113431930542,18515,13079,3960
50000,0.3090782165527344,18515,13079,3960
50000,0.3311190605163574,18515,13079,3960
50000,0.29820680618286133,18515,13079,3960
50000,0.37849950790405273,18515,13079,3960
50000,0.2912254333496094,18515,13079,3960
50000,0.2910878658294678,18515,13079,3960
50000,0.2872350215911865,18515,13079,3960
50000,0.28823280334472656,18515,13079,3960
50000,0.2992222309112549,18515,13079,3960
50000,0.5216114521026611,18515,13079,3960
50000,0.2968442440032959,18515,13079,3960
50000,0.40691661834716797,18515,13079,3960
50000,0.34508252143859863,18515,13079,3960
50000,0.30120110511779785,18515,13079,3960
50000,0.47478318214416504,18515,13079,3960
50000,0.4547903537750244,18515,13079,3960
50000,0.4399893283843994,18515,13079,3960
50000,0.314164400100708,18515,13079,3960
50000,0.29322004318237305,18515,13079,3960
50000,0.27427029609680176,18515,13079,3960
50000,0.2782595157623291,18515,13079,3960
50000,0.28026342391967773,18515,13079,3960
50000,0.2769589424133301,18515,13079,3960
50000,0.38397812843322754,18515,13079,3960
50000,0.306185245513916,18515,13079,3960
50000,0.27925729751586914,18515,13079,3960
50000,0.28012990951538086,18515,13079,3960
50000,0.27976369857788086,18515,13079,3960
50000,0.2762644290924072,18515,13079,3960
50000,0.38098621368408203,18515,13079,3960
50000,0.34212636947631836,18515,13079,3960
50000,0.31391453742980957,18515,13079,3960
50000,0.2777719497680664,18515,13079,3960
50000,0.2782590389251709,18515,13079,3960
50000,0.27427005767822266,18515,13079,3960
