plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3,Kurtosis First Subarray,Kurtosis Second Subarray,Kurtosis Third Subarray,Skewness First Subarray,Skewness Second Subarray,Skewness Third Subarray
1000,0.0019943714141845703,978,348,252,-1.2000025091925317,-1.204968944099379,nan,0.0,0.0,nan
1000,0.0029649734497070312,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0029921531677246094,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019941329956054688,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019779205322265625,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001996278762817383,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019936561584472656,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0020029544830322266,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019948482513427734,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0009980201721191406,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019936561584472656,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0009961128234863281,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.000997781753540039,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0029916763305664062,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019943714141845703,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.00099945068359375,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001994609832763672,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019941329956054688,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001993894577026367,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019943714141845703,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019941329956054688,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0029909610748291016,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001993894577026367,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001994609832763672,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019948482513427734,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0029916763305664062,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.000997781753540039,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.000997781753540039,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019948482513427734,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001995086669921875,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019943714141845703,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0009982585906982422,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.003988981246948242,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.000997304916381836,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001995086669921875,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.003989219665527344,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0009975433349609375,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0009980201721191406,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.002991914749145508,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0009982585906982422,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019948482513427734,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019936561584472656,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0029921531677246094,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001995086669921875,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019943714141845703,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.001995086669921875,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
1000,0.0019941329956054688,348,274,80,-1.2000198178410113,-1.200031968031968,-1.2003750586029067,0.0,0.0,0.0
