plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3,Kurtosis First Subarray,Kurtosis Second Subarray,Kurtosis Third Subarray,Skewness First Subarray,Skewness Second Subarray,Skewness Third Subarray
25000,5.739637851715088,4439,1297,715,-1.200000121798229,-1.200001426696342,-1.2000046946152763,0.0,0.0,0.0
25000,5.819425106048584,22640,11369,10686,-1.2000000046822907,-1.2000004309107353,nan,0.0,0.0,nan
25000,5.722309589385986,6494,2840,458,-1.200000056909751,-1.2000002975600448,-1.2000114414839604,0.0,0.0,0.0
25000,5.698261260986328,3470,1079,944,-1.2000001993206655,-1.2000020614306328,-1.2000026931946337,0.0,0.0,0.0
25000,5.681792974472046,5368,4857,4592,-1.2000000832887305,-1.2000001017360926,-1.2000001138170968,0.0,0.0,0.0
25000,7.738290786743164,10014,25,14,-1.2000000239329414,-1.2038461538461538,-1.2123076923076923,0.0,0.0,0.0
25000,5.788509845733643,14109,12183,11291,-1.2000000120564314,-1.2000000202337198,nan,0.0,0.0,nan
25000,5.689770698547363,16890,7703,6321,-1.200000008413021,-1.2000000404474787,-1.2000144885540422,0.0,0.0,0.0
25000,5.7885096073150635,2794,237,224,-1.2000003074386707,-1.2000427289559896,-1.2000478325859492,0.0,0.0,0.0
25000,5.655862092971802,3873,2868,1108,-1.200000159998635,-1.2000002917783072,-1.2000019549338865,0.0,0.0,0.0
25000,5.620956659317017,4419,852,560,-1.2000001229032204,-1.200003306226865,-1.2000076530856285,0.0,0.0,0.0
25000,5.707723617553711,18991,18036,369,-1.2000000066545025,-1.2000000664671173,nan,0.0,0.0,nan
25000,5.682791233062744,13187,9258,6076,-1.200000013801276,-1.2000000280012164,-1.2000003676457072,0.0,0.0,0.0
25000,5.523219585418701,21982,18542,5953,-1.2000000049668018,-1.2000002634952667,nan,0.0,0.0,nan
25000,5.697750806808472,14074,2221,529,-1.2000000121164713,-1.20000048653514,-1.2000085763293311,0.0,0.0,0.0
25000,5.563111066818237,1019,377,88,-1.2000023113371086,-1.200016886187099,-1.2003099573808602,0.0,0.0,0.0
25000,5.629932880401611,13650,7461,5385,-1.2000000128808923,-1.2000000431138862,-1.2000001586848201,0.0,0.0,0.0
25000,5.535186290740967,7653,6974,5323,-1.2000000409777234,-1.200000049345479,-1.200000084702909,0.0,0.0,0.0
25000,5.595026969909668,7465,3072,1986,-1.2000000430676945,-1.2000002543131776,-1.200000608489185,0.0,0.0,0.0
25000,5.558124303817749,7556,4031,23,-1.2000000420365784,-1.2000001477017606,-1.2045454545454546,0.0,0.0,0.0
25000,5.649877309799194,23907,19795,19476,-1.2000000041991468,-1.2000020089599615,nan,0.0,0.0,nan
25000,5.606994152069092,995,493,19,-1.2000024241836562,-1.200009874592673,-1.2066666666666668,0.0,0.0,0.0
25000,5.654865980148315,19482,17178,4613,-1.2000000063233056,-1.200000078822075,nan,0.0,0.0,nan
25000,5.6764256954193115,9056,8025,3522,-1.2000000292643187,-1.2000000372667199,-1.2000001934784381,0.0,0.0,0.0
25000,5.649878025054932,13806,2358,2259,-1.2000000125914432,-1.200000431642022,-1.2000004703042084,0.0,0.0,0.0
