plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3
15000,0.024932384490966797,6233,1290,285
15000,0.02891707420349121,10850,2429,1290
15000,0.024932384490966797,2429,1290,605
15000,0.024690866470336914,6233,2429,1290
15000,0.025294065475463867,6233,4113,2429
15000,0.022928953170776367,6233,4113,2429
15000,0.02291107177734375,10850,4113,1290
15000,0.02690863609313965,605,285,3
15000,0.024933815002441406,4113,2429,1290
15000,0.02393484115600586,10850,8574,6233
15000,0.027562379837036133,12649,1290,285
15000,0.0249176025390625,4113,2429,605
15000,0.0209197998046875,6233,4113,605
15000,0.027898550033569336,285,28,10
15000,0.02293872833251953,8574,4113,285
15000,0.02792525291442871,10850,8574,100
15000,0.02792501449584961,1290,285,100
15000,0.06582283973693848,605,285,28
15000,0.026908159255981445,2429,1290,605
15000,0.026927709579467773,2429,100,28
15000,0.02592945098876953,4113,1290,285
15000,0.020943641662597656,6233,605,285
15000,0.02293872833251953,10850,6233,4113
15000,0.023935317993164062,14554,2429,1290
15000,0.027925729751586914,14554,12649,2429
15000,0.025928974151611328,2429,100,28
15000,0.022939443588256836,6233,4113,1290
15000,0.020943880081176758,6233,4113,1290
15000,0.021132946014404297,8574,6233,2429
15000,0.02293872833251953,12649,4113,605
15000,0.08776473999023438,10850,6233,2429
15000,0.028922557830810547,6233,1290,285
15000,0.021941184997558594,4113,285,100
15000,0.021941184997558594,1290,28,10
15000,0.02593064308166504,2429,1290,100
15000,0.022938251495361328,2429,1290,285
15000,0.021942615509033203,6233,2429,28
15000,0.027925729751586914,12649,605,285
15000,0.024913311004638672,12649,4113,605
15000,0.025909900665283203,2429,1290,100
15000,0.024284839630126953,12649,10850,2429
15000,0.022917509078979492,4113,2429,605
15000,0.02372002601623535,2429,1290,605
15000,0.02790355682373047,285,100,28
15000,0.024074316024780273,10850,605,100
15000,0.02445507049560547,8574,6233,4113
15000,0.026147127151489258,1290,285,28
15000,0.023122072219848633,6233,2429,100
15000,0.023586511611938477,12649,4113,605
15000,0.03191328048706055,6233,4113,1290
15000,0.030250072479248047,6233,2429,605
15000,0.03695344924926758,12649,605,28
15000,0.028820037841796875,8574,4113,2429
15000,0.03812146186828613,6233,4113,2429
15000,0.03826904296875,2429,605,285
15000,0.03953194618225098,10850,2429,1290
15000,0.023353099822998047,1290,285,10
15000,0.020944595336914062,8574,6233,2429
15000,0.07320523262023926,12649,6233,2429
15000,0.02393627166748047,10850,100,28
15000,0.025931119918823242,12649,8574,6233
15000,0.021366119384765625,10850,4113,2429
15000,0.02393627166748047,8574,6233,4113
15000,0.020735740661621094,6233,1290,605
15000,0.022415637969970703,10850,6233,4113
15000,0.021940946578979492,6233,2429,605
15000,0.021941661834716797,2429,605,285
15000,0.021019697189331055,6233,2429,1290
15000,0.025013446807861328,12649,8574,2429
15000,0.025314807891845703,8574,6233,4113
15000,0.028013944625854492,2429,605,285
15000,0.027203083038330078,10850,8574,2429
15000,0.029332399368286133,6233,1290,605
15000,0.03502774238586426,285,100,28
15000,0.05483698844909668,10850,1290,605
15000,0.030704736709594727,12649,8574,2429
15000,0.03156304359436035,2429,1290,605
15000,0.03186345100402832,605,285,100
15000,0.029862165451049805,6233,4113,2429
15000,0.030942440032958984,2429,285,100
