depth,ipodiastima,sorting time
1,93257,0.11269903182983398
2,76193,0.11269903182983398
3,43993,0.11269903182983398
1,50000,1.093076229095459
2,25000,1.093076229095459
3,12500,1.093076229095459
1,50000,1.0461924076080322
2,25000,1.0461924076080322
3,12500,1.0461924076080322
1,50000,1.045201063156128
2,25000,1.045201063156128
3,12500,1.045201063156128
1,50000,1.0402107238769531
2,25000,1.0402107238769531
3,12500,1.0402107238769531
1,50000,1.024240255355835
2,25000,1.024240255355835
3,12500,1.024240255355835
1,50000,1.045201063156128
2,25000,1.045201063156128
3,12500,1.045201063156128
1,50000,1.0501883029937744
2,25000,1.0501883029937744
3,12500,1.0501883029937744
1,50000,1.4600942134857178
2,25000,1.4600942134857178
3,12500,1.4600942134857178
1,50064,0.9614484310150146
2,24819,0.9614484310150146
3,12455,0.9614484310150146
1,50064,0.9025905132293701
2,24819,0.9025905132293701
3,12455,0.9025905132293701
1,50064,0.9105381965637207
2,24819,0.9105381965637207
3,12455,0.9105381965637207
1,50064,0.946488618850708
2,24819,0.946488618850708
3,12455,0.946488618850708
1,50064,1.4062390327453613
2,24819,1.4062390327453613
3,12455,1.4062390327453613
1,50064,1.0267627239227295
2,24819,1.0267627239227295
3,12455,1.0267627239227295
1,2471,0.038897037506103516
2,1243,0.038897037506103516
3,611,0.038897037506103516
1,2471,0.03889584541320801
2,1243,0.03889584541320801
3,611,0.03889584541320801
1,2471,0.038895368576049805
2,1243,0.038895368576049805
3,611,0.038895368576049805
1,2471,0.05186128616333008
2,1243,0.05186128616333008
3,611,0.05186128616333008
1,2471,0.04091072082519531
2,1243,0.04091072082519531
3,611,0.04091072082519531
1,2471,0.03992009162902832
2,1243,0.03992009162902832
3,611,0.03992009162902832
1,2471,0.0438838005065918
2,1243,0.0438838005065918
3,611,0.0438838005065918
1,2471,0.03989291191101074
2,1243,0.03989291191101074
3,611,0.03989291191101074
1,2471,0.05387568473815918
2,1243,0.05387568473815918
3,611,0.05387568473815918
1,491,0.00797891616821289
2,240,0.00797891616821289
3,123,0.00797891616821289
1,491,0.00897669792175293
2,240,0.00897669792175293
3,123,0.00897669792175293
1,491,0.00997161865234375
2,240,0.00997161865234375
3,123,0.00997161865234375
1,491,0.008984804153442383
2,240,0.008984804153442383
3,123,0.008984804153442383
1,512,0.011968135833740234
2,256,0.011968135833740234
3,128,0.011968135833740234
1,512,0.011945962905883789
2,256,0.011945962905883789
3,128,0.011945962905883789
1,512,0.011991500854492188
2,256,0.011991500854492188
3,128,0.011991500854492188
1,512,0.01097416877746582
2,256,0.01097416877746582
3,128,0.01097416877746582
1,512,0.01197052001953125
2,256,0.01197052001953125
3,128,0.01197052001953125
1,512,0.010970830917358398
2,256,0.010970830917358398
3,128,0.010970830917358398
1,264,0.5395581722259521
2,230,0.5395581722259521
3,98,0.5395581722259521
1,264,0.5914187431335449
2,230,0.5914187431335449
3,98,0.5914187431335449
1,264,0.47573161125183105
2,230,0.47573161125183105
3,98,0.47573161125183105
1,264,0.4797201156616211
2,230,0.4797201156616211
3,98,0.4797201156616211
1,264,0.5864355564117432
2,230,0.5864355564117432
3,98,0.5864355564117432
1,264,0.46575450897216797
2,230,0.46575450897216797
3,98,0.46575450897216797
1,264,0.5415537357330322
2,230,0.5415537357330322
3,98,0.5415537357330322
1,264,0.5505044460296631
2,230,0.5505044460296631
3,98,0.5505044460296631
1,264,0.38494205474853516
2,230,0.38494205474853516
3,98,0.38494205474853516
1,392,0.3899562358856201
2,195,0.3899562358856201
3,71,0.3899562358856201
1,402,0.3500633239746094
2,337,0.3500633239746094
3,330,0.3500633239746094
1,713,0.3400912284851074
2,382,0.3400912284851074
3,101,0.3400912284851074
1,695,0.4906888008117676
2,173,0.4906888008117676
3,66,0.4906888008117676
1,964,0.3031890392303467
2,596,0.3031890392303467
3,244,0.3031890392303467
1,144,0.30817627906799316
2,139,0.30817627906799316
3,6,0.30817627906799316
1,75,0.30419087409973145
2,52,0.30419087409973145
3,10,0.30419087409973145
1,17,0.33710312843322754
2,6,0.33710312843322754
3,4,0.33710312843322754
1,132,0.33906984329223633
2,35,0.33906984329223633
3,4,0.33906984329223633
1,789,0.3720057010650635
2,678,0.3720057010650635
3,46,0.3720057010650635
1,784,0.34009432792663574
2,362,0.34009432792663574
3,25,0.34009432792663574
1,841,0.3939495086669922
2,239,0.3939495086669922
3,110,0.3939495086669922
1,4,0.3470499515533447
2,3,0.3470499515533447
3,2,0.3470499515533447
1,952,0.2323591709136963
2,738,0.2323591709136963
3,406,0.2323591709136963
1,554,0.28523826599121094
2,400,0.28523826599121094
3,365,0.28523826599121094
1,155,0.397907018661499
2,125,0.397907018661499
3,70,0.397907018661499
1,270,0.3939492702484131
2,248,0.3939492702484131
3,64,0.3939492702484131
1,862,0.3550529479980469
2,244,0.3550529479980469
3,167,0.3550529479980469
1,2,0.3480713367462158
2,2,0.3480713367462158
3,1021,0.3480713367462158
1,357,0.3420886993408203
2,294,0.3420886993408203
3,144,0.3420886993408203
1,325,0.4617435932159424
2,174,0.4617435932159424
3,62,0.4617435932159424
1,454,0.34108877182006836
2,448,0.34108877182006836
3,421,0.34108877182006836
1,4626,1.5568089485168457
2,2315,1.5568089485168457
3,2182,1.5568089485168457
1,2993,1.616654396057129
2,2366,1.616654396057129
3,289,1.616654396057129
1,2468,1.7682709693908691
2,778,1.7682709693908691
3,699,1.7682709693908691
1,4461,1.9577436447143555
2,2093,1.9577436447143555
3,1207,1.9577436447143555
1,3333,1.5468637943267822
2,2338,1.5468637943267822
3,1880,1.5468637943267822
1,4682,1.7154138088226318
2,3089,1.7154138088226318
3,1449,1.7154138088226318
1,2500,0.05388140678405762
2,1250,0.05388140678405762
3,625,0.05388140678405762
1,2500,0.05186152458190918
2,1250,0.05186152458190918
3,625,0.05186152458190918
1,2500,0.04988694190979004
2,1250,0.04988694190979004
3,625,0.04988694190979004
1,2500,0.05288863182067871
2,1250,0.05288863182067871
3,625,0.05288863182067871
1,2460,0.04587674140930176
2,1220,0.04587674140930176
3,610,0.04587674140930176
1,2460,0.044907331466674805
2,1220,0.044907331466674805
3,610,0.044907331466674805
1,2460,0.045855045318603516
2,1220,0.045855045318603516
3,610,0.045855045318603516
1,2460,0.054851531982421875
2,1220,0.054851531982421875
3,610,0.054851531982421875
1,2460,0.04490995407104492
2,1220,0.04490995407104492
3,610,0.04490995407104492
1,2460,0.04490017890930176
2,1220,0.04490017890930176
3,610,0.04490017890930176
1,2460,0.046875
2,1220,0.046875
3,610,0.046875
1,4128,2.0824058055877686
2,2009,2.0824058055877686
3,511,2.0824058055877686
1,266,1.7124018669128418
2,126,1.7124018669128418
3,74,1.7124018669128418
1,2010,1.5368685722351074
2,1777,1.5368685722351074
3,1152,1.5368685722351074
1,2899,1.654576063156128
2,607,1.654576063156128
3,81,1.654576063156128
1,1800,1.8301069736480713
2,1176,1.8301069736480713
3,194,1.8301069736480713
1,1800,1.6765165328979492
2,1176,1.6765165328979492
3,194,1.6765165328979492
1,2651,1.692474126815796
2,1505,1.692474126815796
3,722,1.692474126815796
1,42474,14.963987588882446
2,39348,14.963987588882446
3,36105,14.963987588882446
1,42474,14.913126468658447
2,39348,14.913126468658447
3,36105,14.913126468658447
1,25000,0.5286059379577637
2,12500,0.5286059379577637
3,6250,0.5286059379577637
1,25000,0.5126252174377441
2,12500,0.5126252174377441
3,6250,0.5126252174377441
1,25000,0.5993795394897461
2,12500,0.5993795394897461
3,6250,0.5993795394897461
1,25236,0.48669862747192383
2,12635,0.48669862747192383
3,6321,0.48669862747192383
1,25236,0.4597933292388916
2,12635,0.4597933292388916
3,6321,0.4597933292388916
1,25236,0.4538087844848633
2,12635,0.4538087844848633
3,6321,0.4538087844848633
1,28821,16.073023080825806
